Row_ID,Year,Era,Scenario,Region,Demographic_Group,Education_Level,Profession,AI_Tool_Category,Weekly_AI_Usage_Hours,AI_Dependency_Score,Human_Creativity_Score,Critical_Thinking_Ability,Problem_Solving_Skills,Emotional_Intelligence,Innovation_Rate,Learning_Speed,Human_Decision_Making_Involvement,Social_Interaction_Quality,Cognitive_Load_Index,Mental_Wellbeing_Score,AI_Tool_Proficiency,Adaptability_Score,Attention_Span_Minutes,Positive_Effects_of_AI,Negative_Effects_of_AI,Outcome_Label
3945,2065,Symbiotic Intelligence Age,Optimistic,Europe,Youth (18-25),Undergraduate,Science & Research,AGI-Adjacent Tools,28.3,64.18,81.33,77.6,90.03,77.13,88.19,85.86,66.93,75.35,60.42,76.0,55.09,81.55,68.39,Improved creative brainstorming; Better data-driven decisions; Broader knowledge access; Improved accessibility for disabled individuals,Creativity homogenization,Positive Growth
3946,2055,Cognitive Co-Evolution,Optimistic,South Asia,Elder (65+),PhD/Research,Education,AGI-Adjacent Tools,26.6,47.81,69.62,74.65,69.12,66.26,56.66,87.34,70.58,71.79,73.49,67.33,50.77,74.36,53.64,Improved creative brainstorming; Increased productivity for deep work; Faster skill acquisition; Enhanced research capabilities,Polarization through AI echo chambers,Positive Growth
3947,2042,Post-Singularity Transition,Neutral,Middle East,Senior (51-65),Undergraduate,Business,Basic Assistants,27.5,35.95,64.54,60.41,55.4,67.09,65.61,79.66,69.15,62.17,63.96,77.19,44.5,77.88,46.75,Personalized learning pathways,Algorithmic bias reinforcement,Stagnant / Moderate
3948,2069,Symbiotic Intelligence Age,Neutral,Africa,Adult (36-50),Postgraduate,Technology,Full AGI Integration,36.2,69.99,65.98,60.05,79.03,64.26,67.03,82.49,62.62,62.93,71.51,60.11,60.49,77.81,33.75,Greater scientific discovery rates; Improved mental health support tools; Improved creative brainstorming,Emotional detachment from AI mediation; Memory atrophy from AI offloading,Positive Growth
3949,2057,Cognitive Co-Evolution,Optimistic,Oceania,Elder (65+),Primary,Law,Analytical AI,20.2,51.8,78.84,82.67,84.26,78.37,78.42,85.06,71.51,73.46,68.86,75.67,55.69,73.4,58.45,Faster skill acquisition; Greater scientific discovery rates,,Positive Growth
3950,2025,Early AI Integration,Optimistic,South Asia,Elder (65+),Undergraduate,Healthcare,None,0.1,16.1,48.07,55.01,52.67,56.46,48.9,49.53,84.7,64.31,53.33,52.48,17.96,55.69,35.07,Improved mental health support tools; Real-time language and cultural bridging; Greater scientific discovery rates,,Stagnant / Moderate
3951,2055,Cognitive Co-Evolution,Optimistic,East Asia,Young Adult (26-35),Postgraduate,Law,AGI-Adjacent Tools,20.9,50.44,79.16,75.29,76.46,70.96,75.98,81.17,72.45,81.46,74.44,78.65,56.95,71.73,66.5,Increased productivity for deep work; Accelerated innovation cycles; Better data-driven decisions,Attention span deterioration,Positive Growth
3952,2060,Cognitive Co-Evolution,Mixed,Oceania,Senior (51-65),PhD/Research,Technology,Analytical AI,36.5,72.88,58.78,63.28,71.7,61.95,33.66,52.88,66.4,71.32,72.21,55.29,79.26,64.79,53.52,Augmented artistic expression; Enhanced emotional regulation through AI coaching; Personalized learning pathways,Decreased self-confidence in decisions,Stagnant / Moderate
3953,2054,Cognitive Co-Evolution,Mixed,East Asia,Elder (65+),PhD/Research,Entrepreneurship,AGI-Adjacent Tools,33.3,63.66,62.35,50.51,68.56,60.06,32.12,74.02,52.44,59.52,75.48,69.23,55.07,63.5,41.88,Improved creative brainstorming; Enhanced collaborative intelligence; Augmented artistic expression,Algorithmic bias reinforcement,Stagnant / Moderate
3954,2032,AI-Augmented Society,Optimistic,Oceania,Youth (18-25),Undergraduate,Business,None,6.9,18.38,51.03,64.61,63.37,65.21,47.02,55.13,85.89,66.85,61.07,71.05,15.61,59.77,49.17,Faster skill acquisition; Improved accessibility for disabled individuals,,Stagnant / Moderate
3955,2058,Cognitive Co-Evolution,Optimistic,North America,Elder (65+),Postgraduate,Science & Research,Multi-modal AI,31.2,61.28,79.23,74.23,76.88,70.51,66.92,84.37,75.78,83.65,64.71,79.72,56.16,82.81,55.43,Cross-domain creativity boosts; Real-time language and cultural bridging; Personalized learning pathways,Reduced physical-world problem solving,Positive Growth
3956,2045,Post-Singularity Transition,Mixed,Africa,Young Adult (26-35),PhD/Research,Creative Arts,Basic Assistants,16.7,32.73,62.64,48.04,64.29,70.91,67.21,79.21,41.55,58.66,62.32,67.22,36.44,60.5,40.07,Greater scientific discovery rates; Better data-driven decisions; Increased productivity for deep work,Reduced risk-taking in innovation; Declining handwriting and manual skills; Skill atrophy in non-AI domains,Stagnant / Moderate
3957,2045,Post-Singularity Transition,Mixed,East Asia,Adult (36-50),Postgraduate,Law,Basic Assistants,25.0,34.16,79.22,54.63,64.92,69.24,62.02,62.13,62.4,54.77,58.36,61.32,33.18,68.25,64.16,Optimized problem-solving frameworks; Faster skill acquisition,Reduced risk-taking in innovation; Creativity homogenization; Memory atrophy from AI offloading,Stagnant / Moderate
3958,2074,Symbiotic Intelligence Age,Pessimistic,Southeast Asia,Senior (51-65),Undergraduate,Science & Research,Full AGI Integration,48.5,89.67,34.37,37.67,48.55,31.86,32.99,59.15,33.08,44.49,75.23,48.02,78.29,43.18,24.22,,Declining handwriting and manual skills; Decreased social bonding; Reduced risk-taking in innovation; Reduced tolerance for ambiguity,Cognitive Decline Risk
3959,2047,Post-Singularity Transition,Optimistic,Africa,Elder (65+),PhD/Research,Engineering,Multi-modal AI,29.3,41.82,71.69,70.56,74.56,76.88,69.85,73.2,76.04,70.93,71.09,76.62,58.65,75.31,56.31,Improved accessibility for disabled individuals; Real-time language and cultural bridging; Enhanced emotional regulation through AI coaching; Optimized problem-solving frameworks,Decreased self-confidence in decisions,Positive Growth
3960,2038,Deep AI Dependency Era,Optimistic,Southeast Asia,Young Adult (26-35),Undergraduate,Social Sciences,Creative AI,13.2,30.5,58.08,75.77,75.4,68.43,75.24,60.43,80.19,76.71,63.02,66.23,34.64,66.54,42.41,Democratized access to expertise; Enhanced research capabilities,Loss of deep reading habits; Job displacement anxiety,Positive Growth
3961,2066,Symbiotic Intelligence Age,Neutral,Africa,Youth (18-25),PhD/Research,Finance,Full AGI Integration,35.9,69.87,71.3,62.2,71.78,67.68,67.99,78.53,59.8,61.5,80.1,50.43,59.66,49.79,22.53,Optimized problem-solving frameworks; Personalized learning pathways,Decreased social bonding,Positive Growth
3962,2029,AI Mainstream Adoption,Pessimistic,Africa,Adult (36-50),Primary,Finance,Basic Assistants,8.1,23.04,71.22,74.94,67.29,82.46,54.67,64.59,86.72,59.02,63.05,55.61,32.22,67.07,45.01,Personalized learning pathways; Accelerated innovation cycles,Creativity homogenization; Reduced independent thinking; Algorithmic bias reinforcement,Cognitive Decline Risk
3963,2051,Cognitive Co-Evolution,Optimistic,North America,Youth (18-25),Undergraduate,Law,Analytical AI,18.5,43.9,76.8,77.88,72.26,74.52,74.6,67.16,68.87,72.02,60.66,76.2,46.35,73.51,56.43,Improved creative brainstorming; Real-time language and cultural bridging; Cross-domain creativity boosts,Privacy erosion through behavioral data; Algorithmic bias reinforcement,Positive Growth
3964,2037,Deep AI Dependency Era,Neutral,Southeast Asia,Adult (36-50),Postgraduate,Skilled Trades,Basic Assistants,14.1,29.05,58.32,64.12,62.64,65.95,44.35,68.64,72.59,62.72,54.79,75.01,45.58,66.46,30.93,Enhanced research capabilities,Reduced tolerance for ambiguity; Skill atrophy in non-AI domains; Loss of deep reading habits,Stagnant / Moderate
3965,2054,Cognitive Co-Evolution,Optimistic,Europe,Adult (36-50),Postgraduate,Law,Analytical AI,29.7,50.97,68.94,66.53,64.98,75.74,74.56,75.07,68.5,73.66,69.78,67.78,48.34,67.08,54.39,Personalized learning pathways; Enhanced collaborative intelligence; Faster skill acquisition; Enhanced emotional regulation through AI coaching,Existential anxiety from AI advancement; Reduced tolerance for ambiguity,Positive Growth
3966,2050,Post-Singularity Transition,Mixed,Latin America,Senior (51-65),Primary,Healthcare,Analytical AI,31.3,51.67,59.43,64.15,70.57,54.17,38.89,50.98,71.49,56.51,67.29,69.69,49.09,77.69,48.21,Improved mental health support tools; Broader knowledge access,Job displacement anxiety; Algorithmic bias reinforcement,Stagnant / Moderate
3967,2061,Symbiotic Intelligence Age,Pessimistic,North America,Senior (51-65),PhD/Research,Entrepreneurship,Multi-modal AI,36.1,77.19,46.9,54.0,43.77,44.26,49.13,58.19,46.09,37.92,72.7,49.89,64.34,57.12,27.63,Reduced cognitive load on repetitive tasks; Improved mental health support tools,Declining handwriting and manual skills; Reduced tolerance for ambiguity; Over-reliance on AI outputs,Cognitive Decline Risk
3968,2048,Post-Singularity Transition,Optimistic,Latin America,Senior (51-65),Undergraduate,Entrepreneurship,Multi-modal AI,20.9,44.89,64.18,73.78,83.01,72.57,64.98,81.22,81.74,78.72,60.18,71.64,54.61,80.39,55.97,Increased productivity for deep work; Optimized problem-solving frameworks; Enhanced emotional regulation through AI coaching,Job displacement anxiety,Positive Growth
3969,2058,Cognitive Co-Evolution,Neutral,Middle East,Senior (51-65),PhD/Research,Science & Research,Analytical AI,26.7,54.17,69.85,52.81,66.63,63.72,67.1,69.82,63.79,62.35,73.16,54.84,53.41,65.12,56.18,Enhanced collaborative intelligence; Faster medical diagnostics,Decreased self-confidence in decisions; Creativity homogenization; Privacy erosion through behavioral data,Stagnant / Moderate
3970,2024,Early AI Integration,Pessimistic,East Asia,Adult (36-50),Primary,Science & Research,Basic Assistants,8.8,21.05,67.97,67.7,76.83,53.05,52.83,63.44,79.19,56.66,56.66,62.58,21.46,64.74,44.56,Optimized problem-solving frameworks; Faster medical diagnostics,Skill atrophy in non-AI domains; Reduced physical-world problem solving,Cognitive Decline Risk
3971,2059,Cognitive Co-Evolution,Mixed,Latin America,Young Adult (26-35),Postgraduate,Engineering,Multi-modal AI,35.2,70.93,60.16,57.68,72.9,73.84,21.31,53.03,46.97,60.65,83.03,57.57,77.84,48.31,48.74,Improved mental health support tools; Optimized problem-solving frameworks,Creativity homogenization; Skill atrophy in non-AI domains,Stagnant / Moderate
3972,2028,AI Mainstream Adoption,Pessimistic,East Asia,Youth (18-25),Undergraduate,Healthcare,Basic Assistants,25.4,23.55,67.64,67.02,72.98,47.01,66.6,60.1,94.2,70.17,60.25,69.33,32.29,62.49,54.2,Broader knowledge access,Declining handwriting and manual skills; Creativity homogenization; Reduced physical-world problem solving,Cognitive Decline Risk
3973,2059,Cognitive Co-Evolution,Optimistic,Africa,Youth (18-25),Undergraduate,Science & Research,Analytical AI,25.5,57.46,76.33,82.06,76.7,71.7,77.5,83.95,70.47,77.86,70.84,78.95,65.68,84.43,62.58,Enhanced emotional regulation through AI coaching; Greater scientific discovery rates,Decreased social bonding; Decreased self-confidence in decisions,Positive Growth
3974,2071,Symbiotic Intelligence Age,Neutral,Europe,Adult (36-50),PhD/Research,Law,Full AGI Integration,33.1,76.15,65.68,63.17,80.67,72.63,72.07,81.76,52.78,64.78,80.07,67.69,78.07,63.08,35.63,Cross-domain creativity boosts; Faster skill acquisition; Enhanced emotional regulation through AI coaching,Decreased social bonding,Positive Growth
3975,2040,Deep AI Dependency Era,Optimistic,South Asia,Young Adult (26-35),Postgraduate,Unemployed/Retired,Creative AI,16.0,31.05,64.86,61.33,65.97,72.39,55.06,68.64,70.49,85.3,51.26,73.82,33.23,63.68,57.25,Greater scientific discovery rates; Broader knowledge access; Reduced cognitive load on repetitive tasks; Optimized problem-solving frameworks,,Positive Growth
3976,2048,Post-Singularity Transition,Mixed,South Asia,Senior (51-65),Secondary,Law,Multi-modal AI,10.5,35.46,65.62,61.95,74.61,67.96,47.68,65.38,67.51,59.89,55.87,61.0,44.73,57.51,49.45,Broader knowledge access,Reduced physical-world problem solving,Stagnant / Moderate
3977,2049,Post-Singularity Transition,Pessimistic,Middle East,Elder (65+),Undergraduate,Engineering,Creative AI,28.6,61.56,57.37,48.26,52.25,50.44,43.3,57.36,66.0,54.83,59.32,56.15,72.49,52.46,31.6,,Polarization through AI echo chambers; Reduced tolerance for ambiguity,Cognitive Decline Risk
3978,2040,Deep AI Dependency Era,Pessimistic,East Asia,Youth (18-25),Postgraduate,Finance,Analytical AI,25.6,44.2,50.38,61.03,60.94,57.36,40.55,53.02,74.01,56.86,64.61,58.96,39.34,50.12,38.76,,Reduced tolerance for ambiguity; Polarization through AI echo chambers; Existential anxiety from AI advancement; Algorithmic bias reinforcement,Cognitive Decline Risk
3979,2055,Cognitive Co-Evolution,Optimistic,Europe,Senior (51-65),PhD/Research,Entrepreneurship,Analytical AI,26.5,52.36,75.77,72.18,75.79,69.35,75.26,76.1,69.96,69.95,60.37,75.89,53.53,70.99,54.83,Optimized problem-solving frameworks; Reduced cognitive load on repetitive tasks,Polarization through AI echo chambers; Decreased social bonding,Positive Growth
3980,2056,Cognitive Co-Evolution,Pessimistic,Africa,Young Adult (26-35),Postgraduate,Healthcare,Analytical AI,38.5,73.26,39.25,49.08,51.49,55.82,45.82,53.57,54.37,47.96,78.76,65.31,72.51,60.25,16.07,Reduced cognitive load on repetitive tasks; Improved accessibility for disabled individuals,Decreased self-confidence in decisions; Emotional detachment from AI mediation; Declining handwriting and manual skills,Cognitive Decline Risk
3981,2028,AI Mainstream Adoption,Mixed,Oceania,Youth (18-25),Secondary,Social Sciences,None,13.2,10.84,53.55,40.33,61.61,74.4,23.7,61.01,89.69,54.83,49.67,70.87,16.21,65.73,44.37,Cross-domain creativity boosts; Enhanced emotional regulation through AI coaching; Faster skill acquisition,Loss of deep reading habits; Existential anxiety from AI advancement; Creativity homogenization,Stagnant / Moderate
3982,2030,AI Mainstream Adoption,Mixed,South Asia,Senior (51-65),Secondary,Social Sciences,None,13.7,25.72,78.28,60.58,82.19,76.53,45.79,65.82,81.46,70.69,67.02,64.83,36.06,54.97,46.9,Increased productivity for deep work; Faster medical diagnostics; Democratized access to expertise,Polarization through AI echo chambers,Stagnant / Moderate
3983,2028,AI Mainstream Adoption,Optimistic,Middle East,Youth (18-25),Secondary,Finance,Basic Assistants,0.5,10.55,54.51,61.25,59.39,60.94,52.34,58.41,86.8,61.03,51.54,57.39,16.66,53.96,46.29,Augmented artistic expression; Greater scientific discovery rates; Democratized access to expertise,Reduced physical-world problem solving,Stagnant / Moderate
3984,2071,Symbiotic Intelligence Age,Optimistic,Europe,Youth (18-25),Postgraduate,Unemployed/Retired,Full AGI Integration,41.3,75.58,78.04,88.88,91.46,75.99,89.49,87.25,67.99,86.83,69.43,74.57,74.95,88.59,58.18,Faster medical diagnostics; Cross-domain creativity boosts,Job displacement anxiety; Memory atrophy from AI offloading,Positive Growth
3985,2074,Symbiotic Intelligence Age,Mixed,Latin America,Elder (65+),Secondary,Law,AGI-Adjacent Tools,38.1,77.17,58.15,52.49,68.41,52.37,28.22,63.91,44.9,62.2,78.0,62.82,67.73,67.79,64.17,Enhanced research capabilities; Personalized learning pathways; Accelerated innovation cycles,Emotional detachment from AI mediation; Digital addiction patterns,Stagnant / Moderate
3986,2072,Symbiotic Intelligence Age,Mixed,Latin America,Senior (51-65),Secondary,Healthcare,Full AGI Integration,51.8,90.46,57.26,58.2,61.54,62.4,45.36,49.47,52.86,62.71,77.03,64.71,87.42,67.63,36.96,Improved creative brainstorming; Real-time language and cultural bridging,Job displacement anxiety; Memory atrophy from AI offloading,Stagnant / Moderate
3987,2027,AI Mainstream Adoption,Optimistic,Africa,Adult (36-50),Secondary,Technology,None,7.5,12.52,46.97,65.97,66.15,67.58,38.15,57.09,92.86,68.09,43.39,61.7,29.4,56.04,49.58,Reduced cognitive load on repetitive tasks; Enhanced research capabilities,,Stagnant / Moderate
3988,2054,Cognitive Co-Evolution,Pessimistic,North America,Senior (51-65),Undergraduate,Education,Analytical AI,25.8,65.21,42.2,58.61,57.78,40.69,33.77,65.81,60.58,54.42,67.8,48.53,65.21,46.87,39.92,,Decreased social bonding; Emotional detachment from AI mediation,Cognitive Decline Risk
3989,2071,Symbiotic Intelligence Age,Pessimistic,Africa,Adult (36-50),Postgraduate,Business,AGI-Adjacent Tools,44.0,83.79,36.0,51.67,42.04,35.53,34.04,34.8,52.47,52.5,71.8,43.7,76.92,23.43,10.82,Enhanced collaborative intelligence; Better data-driven decisions,Polarization through AI echo chambers; Privacy erosion through behavioral data,Cognitive Decline Risk
3990,2048,Post-Singularity Transition,Mixed,East Asia,Youth (18-25),Secondary,Healthcare,Multi-modal AI,23.5,40.84,65.7,64.47,72.61,71.11,40.15,85.89,85.64,56.72,68.27,58.62,54.69,37.19,33.44,Enhanced emotional regulation through AI coaching,Decreased self-confidence in decisions; Over-reliance on AI outputs; Job displacement anxiety,Stagnant / Moderate
3991,2047,Post-Singularity Transition,Optimistic,Europe,Adult (36-50),Postgraduate,Healthcare,Multi-modal AI,24.7,45.97,78.65,75.58,89.69,71.48,73.71,76.69,78.49,85.3,70.04,65.55,51.39,76.76,58.4,Enhanced research capabilities; Increased productivity for deep work,Reduced physical-world problem solving; Reduced risk-taking in innovation,Positive Growth
3992,2033,AI-Augmented Society,Optimistic,Southeast Asia,Adult (36-50),Secondary,Entrepreneurship,Basic Assistants,6.2,26.74,66.54,63.89,52.67,57.44,64.85,58.02,83.95,67.63,59.36,65.72,31.25,65.99,56.4,Enhanced collaborative intelligence; Improved accessibility for disabled individuals,Reduced risk-taking in innovation; Digital addiction patterns,Stagnant / Moderate
3993,2054,Cognitive Co-Evolution,Neutral,South Asia,Young Adult (26-35),Undergraduate,Law,Analytical AI,25.9,53.79,72.72,64.18,64.96,63.31,66.37,75.57,69.58,63.28,69.45,61.99,50.62,50.13,57.17,Personalized learning pathways; Greater scientific discovery rates,Loss of deep reading habits; Reduced risk-taking in innovation; Over-reliance on AI outputs,Positive Growth
3994,2042,Post-Singularity Transition,Optimistic,Oceania,Adult (36-50),Undergraduate,Science & Research,Creative AI,17.9,36.17,60.4,76.76,56.69,74.96,57.71,74.16,75.62,61.11,60.9,69.14,49.24,70.7,47.99,Improved accessibility for disabled individuals; Faster medical diagnostics,Loss of deep reading habits; Over-reliance on AI outputs,Positive Growth
3995,2046,Post-Singularity Transition,Pessimistic,Africa,Adult (36-50),Primary,Education,Creative AI,32.8,56.67,57.45,56.88,63.19,63.15,51.03,47.39,72.8,45.12,70.54,56.27,57.7,56.3,38.1,,Privacy erosion through behavioral data; Job displacement anxiety,Cognitive Decline Risk
3996,2029,AI Mainstream Adoption,Pessimistic,Europe,Youth (18-25),PhD/Research,Finance,None,21.0,31.75,64.94,80.01,71.14,66.09,62.87,70.42,81.53,79.1,64.38,71.61,35.45,62.02,45.55,,Memory atrophy from AI offloading; Job displacement anxiety; Polarization through AI echo chambers,Cognitive Decline Risk
3997,2049,Post-Singularity Transition,Pessimistic,Southeast Asia,Young Adult (26-35),Secondary,Business,Creative AI,31.6,54.48,48.6,43.21,59.54,58.25,43.46,41.05,77.83,45.29,67.9,50.6,59.2,43.79,36.96,Better data-driven decisions; Enhanced emotional regulation through AI coaching,Reduced tolerance for ambiguity; Decreased social bonding; Job displacement anxiety,Cognitive Decline Risk
3998,2043,Post-Singularity Transition,Pessimistic,Oceania,Senior (51-65),Secondary,Engineering,Analytical AI,16.6,51.96,44.6,51.6,66.38,54.34,39.38,52.09,79.85,65.74,63.45,57.64,53.01,63.2,49.58,Greater scientific discovery rates; Better data-driven decisions,Memory atrophy from AI offloading; Polarization through AI echo chambers,Cognitive Decline Risk
3999,2063,Symbiotic Intelligence Age,Pessimistic,Europe,Adult (36-50),Primary,Unemployed/Retired,Full AGI Integration,40.3,73.93,48.86,43.31,58.22,40.66,45.03,47.35,37.92,49.49,87.96,50.25,72.63,46.55,22.08,,Digital addiction patterns; Decreased social bonding; Reduced tolerance for ambiguity,Cognitive Decline Risk
4000,2070,Symbiotic Intelligence Age,Optimistic,Europe,Youth (18-25),Postgraduate,Unemployed/Retired,Full AGI Integration,34.8,70.76,91.74,83.89,93.86,79.49,85.0,78.54,60.95,79.29,78.29,70.96,75.26,82.1,62.88,Real-time language and cultural bridging; Reduced cognitive load on repetitive tasks,Skill atrophy in non-AI domains; Polarization through AI echo chambers,Positive Growth
4001,2040,Deep AI Dependency Era,Neutral,Southeast Asia,Young Adult (26-35),Postgraduate,Technology,Basic Assistants,20.8,32.52,65.88,65.0,59.15,62.67,61.53,72.08,73.59,61.84,68.82,63.97,40.75,63.48,57.91,Reduced cognitive load on repetitive tasks; Optimized problem-solving frameworks; Democratized access to expertise,Decreased self-confidence in decisions,Stagnant / Moderate
4002,2033,AI-Augmented Society,Mixed,North America,Adult (36-50),Undergraduate,Creative Arts,Basic Assistants,15.6,29.72,78.15,64.33,50.44,72.02,29.09,33.36,61.87,73.26,70.89,64.26,31.49,42.87,34.02,Accelerated innovation cycles,Privacy erosion through behavioral data; Skill atrophy in non-AI domains,Stagnant / Moderate
4003,2073,Symbiotic Intelligence Age,Neutral,Latin America,Adult (36-50),Primary,Engineering,Full AGI Integration,35.6,79.66,67.45,62.14,72.94,75.69,69.39,86.86,58.46,59.43,77.46,76.84,75.4,56.31,45.03,Accelerated innovation cycles; Greater scientific discovery rates,Polarization through AI echo chambers; Over-reliance on AI outputs,Positive Growth
4004,2064,Symbiotic Intelligence Age,Optimistic,North America,Youth (18-25),PhD/Research,Unemployed/Retired,AGI-Adjacent Tools,36.4,69.09,70.31,76.83,83.97,72.31,85.26,80.26,64.0,75.85,80.4,74.75,66.95,86.57,63.21,Real-time language and cultural bridging; Reduced cognitive load on repetitive tasks; Enhanced emotional regulation through AI coaching,,Positive Growth
4005,2036,Deep AI Dependency Era,Optimistic,South Asia,Young Adult (26-35),Primary,Science & Research,None,10.4,22.08,57.5,69.1,67.32,70.45,66.83,70.24,83.45,72.99,65.1,64.38,16.91,58.64,46.74,Optimized problem-solving frameworks; Faster medical diagnostics; Enhanced research capabilities,Job displacement anxiety,Positive Growth
4006,2062,Symbiotic Intelligence Age,Optimistic,South Asia,Elder (65+),Undergraduate,Social Sciences,Full AGI Integration,34.9,58.05,75.5,81.13,74.41,87.87,75.63,86.75,77.49,80.17,68.92,73.93,53.85,79.5,62.11,Cross-domain creativity boosts; Enhanced emotional regulation through AI coaching; Reduced cognitive load on repetitive tasks; Faster medical diagnostics,Memory atrophy from AI offloading,Positive Growth
4007,2051,Cognitive Co-Evolution,Pessimistic,North America,Elder (65+),Secondary,Creative Arts,Creative AI,39.8,60.68,51.84,50.19,54.86,61.68,40.95,50.73,59.04,54.49,68.37,46.94,65.42,52.73,46.51,,Loss of deep reading habits; Attention span deterioration; Reduced independent thinking; Polarization through AI echo chambers,Cognitive Decline Risk
4008,2027,AI Mainstream Adoption,Pessimistic,South Asia,Adult (36-50),Undergraduate,Unemployed/Retired,None,17.3,30.63,66.84,58.97,72.67,55.49,55.63,56.0,92.07,59.52,59.05,79.85,32.37,51.16,46.84,Enhanced emotional regulation through AI coaching,Polarization through AI echo chambers; Declining handwriting and manual skills; Decreased self-confidence in decisions; Existential anxiety from AI advancement,Cognitive Decline Risk
4009,2042,Post-Singularity Transition,Neutral,North America,Senior (51-65),Undergraduate,Creative Arts,Analytical AI,16.7,35.08,59.76,69.01,68.96,65.85,68.17,75.12,70.36,68.37,62.87,63.79,39.05,61.44,53.41,Democratized access to expertise,Reduced risk-taking in innovation,Positive Growth
4010,2045,Post-Singularity Transition,Optimistic,East Asia,Senior (51-65),Secondary,Education,Basic Assistants,24.7,35.56,71.16,74.66,76.67,75.08,66.24,66.95,77.48,72.5,59.72,56.54,36.55,65.67,56.69,Increased productivity for deep work; Improved creative brainstorming; Optimized problem-solving frameworks,Privacy erosion through behavioral data,Positive Growth
4011,2071,Symbiotic Intelligence Age,Optimistic,Europe,Youth (18-25),PhD/Research,Creative Arts,Full AGI Integration,43.1,75.88,82.19,81.25,82.36,81.43,95.48,86.12,74.12,81.46,73.39,87.13,69.57,85.52,70.49,Faster medical diagnostics; Enhanced collaborative intelligence; Augmented artistic expression,Declining handwriting and manual skills,Positive Growth
4012,2028,AI Mainstream Adoption,Pessimistic,Middle East,Senior (51-65),Undergraduate,Business,None,16.6,21.05,72.97,76.9,75.94,61.69,56.53,49.94,94.75,68.7,58.15,60.66,24.67,56.32,38.22,,Skill atrophy in non-AI domains; Declining handwriting and manual skills; Reduced tolerance for ambiguity,Cognitive Decline Risk
4013,2050,Post-Singularity Transition,Neutral,Europe,Senior (51-65),Primary,Unemployed/Retired,Multi-modal AI,27.2,47.68,73.46,63.45,76.61,60.24,64.06,73.36,70.22,59.64,72.31,63.81,55.04,71.84,28.67,Greater scientific discovery rates,Privacy erosion through behavioral data; Decreased self-confidence in decisions,Positive Growth
4014,2062,Symbiotic Intelligence Age,Optimistic,Latin America,Young Adult (26-35),Secondary,Unemployed/Retired,Multi-modal AI,23.2,62.08,80.14,85.41,87.3,73.05,81.09,79.1,63.69,77.36,60.77,77.69,66.42,75.92,49.24,Optimized problem-solving frameworks; Real-time language and cultural bridging; Reduced cognitive load on repetitive tasks,,Positive Growth
4015,2024,Early AI Integration,Neutral,North America,Youth (18-25),Undergraduate,Entrepreneurship,None,1.5,8.19,62.8,63.69,66.92,66.0,51.92,63.0,88.76,64.27,55.55,63.99,10.72,68.09,58.85,Accelerated innovation cycles; Enhanced research capabilities,Existential anxiety from AI advancement; Digital addiction patterns,Stagnant / Moderate
4016,2026,Early AI Integration,Optimistic,South Asia,Youth (18-25),Secondary,Business,None,8.4,8.81,51.06,62.84,69.47,59.95,45.9,51.39,87.01,60.33,58.13,65.7,16.29,55.29,38.04,Broader knowledge access; Cross-domain creativity boosts,Decreased social bonding; Reduced risk-taking in innovation,Stagnant / Moderate
4017,2061,Symbiotic Intelligence Age,Mixed,Oceania,Young Adult (26-35),Postgraduate,Healthcare,Multi-modal AI,39.2,62.73,55.55,69.72,58.0,59.67,27.92,64.54,57.67,75.21,69.23,68.17,66.49,68.03,35.91,Optimized problem-solving frameworks,Algorithmic bias reinforcement; Digital addiction patterns; Loss of deep reading habits,Stagnant / Moderate
4018,2024,Early AI Integration,Mixed,Europe,Elder (65+),Postgraduate,Entrepreneurship,None,10.0,9.7,56.45,80.83,72.15,60.2,41.05,54.11,84.69,61.29,47.6,68.55,17.28,57.47,60.32,Improved creative brainstorming; Improved mental health support tools,Algorithmic bias reinforcement; Polarization through AI echo chambers,Stagnant / Moderate
4019,2072,Symbiotic Intelligence Age,Pessimistic,Africa,Adult (36-50),Primary,Entrepreneurship,Full AGI Integration,53.8,91.3,40.53,31.0,50.8,43.26,41.18,40.6,41.53,27.9,77.7,37.12,88.78,33.61,24.02,Democratized access to expertise; Accelerated innovation cycles,Loss of deep reading habits; Creativity homogenization; Declining handwriting and manual skills; Digital addiction patterns,Cognitive Decline Risk
4020,2038,Deep AI Dependency Era,Optimistic,Europe,Youth (18-25),Postgraduate,Business,None,11.0,29.8,63.76,67.7,73.97,76.25,73.28,69.34,84.36,71.3,54.69,68.47,41.9,61.92,49.42,Increased productivity for deep work; Better data-driven decisions; Improved mental health support tools; Enhanced collaborative intelligence,Memory atrophy from AI offloading; Reduced physical-world problem solving,Positive Growth
4021,2065,Symbiotic Intelligence Age,Pessimistic,Latin America,Elder (65+),Undergraduate,Science & Research,Full AGI Integration,44.8,79.85,43.31,43.1,45.52,53.5,39.26,65.01,31.88,46.56,73.01,40.26,81.14,52.36,22.25,Accelerated innovation cycles; Enhanced research capabilities,Reduced tolerance for ambiguity; Emotional detachment from AI mediation; Reduced physical-world problem solving; Decreased self-confidence in decisions,Cognitive Decline Risk
