Clothing_ID,Clothing_Name,Native_Name,Country,Region,Ethnic_Group,Garment_Type,Clothing_Category,Historical_Period,Primary_Fabric,Secondary_Fabric,Weaving_Technique,Embroidery_Type,Dominant_Colors,Occasion_Used,Religious_Significance,Traditional_Accessories,Climate_Adaptation,Cultural_Symbolism,Modern_Fashion_Influence,Endangered_Tradition_Status,Visual_Vibrancy_Score,Historical_Depth_Score
TG-09100,Isicwaya Skin Wrap,Isicwaya Skin Wrap,South Africa,Southern Africa,Zulu,Cloak,Outerwear,Baroque,Sheepskin,Sheepskin,Beadwork,Needle lace,"Emerald, White, Crimson",Umhlanga Reed Dance,None,Isigqizo leg beads,Tropical Humid,Zulu royal lineage age grade and martial prestige,Low,Endangered,1,6
TG-09101,Tasseled Cape,Tasseled Cape,Senegal,West Africa,Wolof,,Warrior,Qing Dynasty,Cotton bazin,Brocade,Backstrap loom,,"Purple, Cobalt, Royal Blue",Wedding,Hindu cosmic order and divine kingship,Gold earrings,High Altitude Cold,Wolof griot heritage and Sufi brotherhood identity,,Extinct,2,9
TG-09102,Grand Boubou,Grand Boubou,Senegal,West Africa,Wolof,Dress,Outerwear,Post-Colonial Modern,Wax print,Silk organza,Unknown,Reverse applique,"Gold, Cobalt, Purple",Tabaski Eid,None,Talisman gris-gris,Tropical Humid,Wolof griot heritage and Sufi brotherhood identity,Low,Active,1,3
TG-09103,Kaftan Robe,Kaftan Robe,Senegal,West Africa,Wolof,N/A,Ceremonial,Ancient (pre-500 CE),Brocade,Silk thread,Plain weave,Sequin applique,"Royal Blue, Purple",Tabaski Eid,Hindu cosmic order and divine kingship,Gold earrings,Cold Alpine,Wolof griot heritage and Sufi brotherhood identity,None,Active,9,9
TG-09104,Hunters Shirt,Not Documented,Mali,West Africa,Dogon,Kaftan,Court,Colonial Era 1500-1900,Cowhide,,Card weaving,None,"Indigo, Black, Ochre",Sigui Ceremony,Shamanic world tree and axis mundi,Togu na post,Continental Steppe,Dogon cosmology and Nommo ancestor spirit symbolism,Very High,Active,1,9
TG-09105,Indigo Bogolanfini Mud Cloth,Indigo Bogolanfini Mud Cloth,Mali,West Africa,Dogon,Veil,Daily,Iron Age,Bark cloth,None,Felt pressing,,"Black, Indigo, Ochre",Harvest,Aztec solar deity,Togu na post,Cold Alpine,Dogon cosmology and Nommo ancestor spirit symbolism,Medium,Active,9,8
TG-09106,Dama Mask Costume,Dama Mask Costume,Mali,West Africa,Dogon,,Headwear,Classical Antiquity,Cowhide,Cotton lining,Tablet weaving,Smocking,"Indigo, Ochre",Harvest,None,Iron bracelet,Temperate Maritime,Dogon cosmology and Nommo ancestor spirit symbolism,High,Extinct,7,7
TG-09107,Kaba Ngondo Wrapper,Kaba Ngondo Wrapper,Cameroon,Central Africa,Bamileke,Sarong,Tribal,Meiji Period,Raffia,Wax print,Jacquard loom,Reverse applique,"Blue Indigo, White, Red",Chieftaincy Installation,N/A,Elephant tusk,Equatorial Rainforest,Bamileke royal power and ancestor veneration,Very High,Extinct,8,5
TG-09108,Ndop Royal Cloth,Ndop Royal Cloth,Cameroon,Central Africa,Bamileke,Ceremonial Robe,Court,Enlightenment Era,Ndop cotton,None,Inkle loom,Crewelwork,"Blue Indigo, Gold, White",Funeral Fon,Buddhist merit and dharma symbolism,Royal cap,Unknown,Bamileke royal power and ancestor veneration,Very High,Endangered,4,2
TG-09109,Tontine Dress,Tontine Dress,Cameroon,Central Africa,Bamileke,N/A,Festival,19th Century,Raffia,Silk thread,Ikat,None,"White, Red",Harvest Dance,Shinto nature kami,Elephant tusk,Cold Alpine,Bamileke royal power and ancestor veneration,None,Reviving,1,2
TG-09110,Initiation Costume,Initiation Costume,DR Congo,Central Africa,Kuba,Robe,Accessory,Viking Age,Raffia palm,Bark cloth,Ndop resist,Sequin applique,"Black, Rust",Royal Court,Yoruba Orisha devotion,Cowrie belt,Hot Semi-Arid,Kuba geometric pattern wisdom and royal divine kingship,Medium,Active,6,7
TG-09111,Kuba Velvet Cloth,Kuba Velvet Cloth,DR Congo,Central Africa,Kuba,Headdress,Outerwear,Meiji Period,Bark cloth,Cowhide,Block printing,Crewelwork,"Rust, Black, Brown Earth",Bush School Initiation,Unknown,Iron bracelet,Temperate Maritime,Kuba geometric pattern wisdom and royal divine kingship,,Active,5,1
TG-09112,Warrior Skin,N/A,Tanzania,East Africa,Sukuma,Scarf,Festival,,Sisal,Silk thread,Tapestry weave,Beadwork,"Red, White",Ngoma Dance,Yoruba Orisha devotion,Ochre body art,Mediterranean,Sukuma farming identity and Ngoma healing tradition,Very High,Active,6,2
TG-09113,Busuti Dress,Unknown,Tanzania,East Africa,Sukuma,Tunic,Tribal,Enlightenment Era,Sisal,Cowhide,Drawloom,Zardozi goldwork,Not Documented,Harvest,Yoruba Orisha devotion,Cowrie anklet,Tropical Highland,Sukuma farming identity and Ngoma healing tradition,None,Reviving,6,8
TG-09114,Kitenge Wrapper,Kitenge Wrapper,Tanzania,East Africa,Sukuma,Kilt,Bridal,Timurid Era,Cotton kitenge,Bark cloth,Ndop resist,Cross-stitch,"Red, White",Coming-of-Age,Aztec solar deity,Cowrie anklet,Tropical Humid,Sukuma farming identity and Ngoma healing tradition,Low,Endangered,8,7
TG-09115,Collar of Gold,Not Documented,Egypt,North Africa,Ancient Egyptian,Tunic,Ritual,Meiji Period,Gold-thread linen,Fine linen,,None,"Lapis Blue, White, Gold",Afterlife Burial,Aztec solar deity,Cartouche amulet,Cold Alpine,Pharaonic divine kingship and Maat cosmic order,Very High,Endangered,3,8
TG-09116,Aheggal Cape,Aheggal Cape,Algeria,North Africa,Kabyle Berber,Warrior Attire,Ritual,Pre-Columbian,N/A,Silk thread,Ikat,Drawn thread,"White, Indigo, Red",Wedding,,Amber beads,Island Maritime,Kabyle Amazigh resistance and mountain identity,Very High,Active,8,7
TG-09117,Silver Fibula Costume,Silver Fibula Costume,Algeria,North Africa,Kabyle Berber,Silver Festival Costume,Outerwear,Qing Dynasty,Cotton,Wool,Resist dyeing,Needle lace,"Red, White",Circumcision,Islamic modesty and geometric pattern,Silver tiara,Mediterranean Highland,Kabyle Amazigh resistance and mountain identity,High,Endangered,2,3
TG-09118,Tiziri Veil,Not Documented,Algeria,North Africa,Kabyle Berber,N/A,Headwear,Pre-Islamic-Present,Linen,None,Jacquard loom,Zardozi goldwork,"White, Indigo",Yennayer Berber New Year,Aztec solar deity,Tattooed chin motif,Arctic Tundra,Kabyle Amazigh resistance and mountain identity,Low,Active,8,7
TG-09119,Taadjadjt Dress,,Algeria,North Africa,Kabyle Berber,Trousers,Tribal,Unknown,Cotton,None,Plain weave,Mola reverse applique,"Gold, White",Not Documented,None,Unknown,Hot Semi-Arid,Kabyle Amazigh resistance and mountain identity,Unknown,Active,5,9
TG-09120,Jebba Robe,Jebba Robe,Tunisia,North Africa,Tunisian,Coat,Court,Post-Colonial Modern,Wool,Silk thread,Tie-dye,None,"White, Turquoise",Circumcision,Buddhist merit and dharma symbolism,Kohl eyes,Subtropical Monsoon,Carthaginian-Arab-Andalusian cultural fusion,,Active,5,9
TG-09121,Burnous Cloak,Burnous Cloak,Tunisia,North Africa,Tunisian,Trousers,Tribal,Meiji Period,Cotton,Cotton,Floor loom,N/A,"Turquoise, Red",Circumcision,Christian faith and saint veneration,Silver bracelets,Continental Steppe,Carthaginian-Arab-Andalusian cultural fusion,None,Active,9,8
TG-09122,Farmla Vest,Farmla Vest,Tunisia,North Africa,Tunisian,Warrior Attire,Religious,Classical Antiquity,Cotton,Silk,Screen printing,Shadow work,"White, Saffron",Circumcision,Islam,,Subtropical Monsoon,Carthaginian-Arab-Andalusian cultural fusion,N/A,Active,4,4
TG-09123,Sefsari Veil,,Tunisia,Not Documented,Tunisian,Cloak,Innerwear,Silk Road Era,Silk,Cotton lining,Twill,None,"Red, Turquoise",Eid,Christian faith and saint veneration,Kohl eyes,Tropical Highland,Carthaginian-Arab-Andalusian cultural fusion,Low,Active,1,5
TG-09124,Toob Wrap,,Sudan,North Africa,Sudanese Nubian,Apron,Warrior,Victorian,Satin,,Jacquard loom,Embroidery,"Purple, Midnight Blue",Eid,Taoist cosmic balance,Toe ring,Cold Alpine,Nubian queenly heritage and Nile Valley ancient civilization,None,Endangered,5,6
TG-09125,Breton Vest,Breton Vest,France,Europe,Breton,Hat,Festival,Renaissance,Velvet,Velvet,Naalbinding,Kasuti embroidery,"Gold, White, Red",Church,Buddhist merit and dharma symbolism,Celtic cross pendant,Hot Semi-Arid,Breton Celtic identity and Catholic parish tradition,Very High,Extinct,9,8
TG-09126,Bigouden Coiffe Headdress,Bigouden Coiffe Headdress,France,Europe,Breton,Kaftan,Ritual,Pre-Columbian,Velvet,Cotton lining,Card weaving,Goldwork couching,"Red, Gold",Wedding,Buddhist merit and dharma symbolism,Celtic cross pendant,Equatorial Rainforest,Breton Celtic identity and Catholic parish tradition,Medium,Active,4,1
TG-09127,Tartan Trews,Tartan Trews,Scotland,Europe,Highland Scottish,Tunic,Warrior,Post-Colonial Modern,Tartan wool,Tweed,,Smocking,"Blue, Green",Wedding,Shinto nature kami,Not Documented,Continental Steppe,Scottish clan identity and Highland warrior heritage,N/A,Active,2,7
TG-09128,Stavanger Bunad,Stavanger Bunad,Norway,Europe,Norwegian,Sash,Headwear,Colonial Era 1500-1900,Linen,Linen,Batik wax resist,None,"Deep Red, White, Black",Constitution Day 17 Mai,None,Embroidered purse,Island Maritime,Norwegian regional identity and National Romantic heritage,Low,Active,8,4
TG-09129,Telemark Bunad,Telemark Bunad,Norway,Europe,Norwegian,Shirt,Bridal,Early Medieval 500-1000 CE,Linen,Silver-embroidered wool,Naalbinding,,"White, Cornflower Blue",Constitution Day 17 Mai,Aztec solar deity,Silver belt,Island Maritime,Norwegian regional identity and National Romantic heritage,Low,Active,2,4
TG-09130,Hardanger Bunad,Hardanger Bunad,Norway,Europe,Norwegian,Warrior Attire,Royal,Enlightenment Era,Linen,Cotton lining,Screen printing,Drawn thread,"White, Cornflower Blue, Black",Church,Australian Dreaming ancestors,Silver brooch fibula,Temperate Maritime,Norwegian regional identity and National Romantic heritage,None,Reviving,1,10
TG-09131,Sami Gakti,Sami Gakti,Norway,Europe,Norwegian,Robe,Warrior,Victorian,Silver-embroidered wool,Cotton lining,Backstrap loom,None,"Black, Deep Red, Cornflower Blue",Church,None,Silver brooch fibula,Temperate Maritime,Norwegian regional identity and National Romantic heritage,Very High,Active,2,9
TG-09132,Puszta Szur Coat,Puszta Szur Coat,Hungary,Europe,Magyar,Body Wrap,Outerwear,18th Century,Embroidered cotton,Embroidered cotton,Twill,Beadwork,"White, Poppy Red, Green",Pentecost,None,Folk embroidered purse,Tropical Dry Savanna,Hungarian folk identity and Pannonian steppe heritage,High,Active,4,8
TG-09133,Cifra Embroidered Cape,Cifra Embroidered Cape,Hungary,Europe,Magyar,Loincloth,Accessory,Baroque,Sheepskin,Sheepskin,Shibori,,"Poppy Red, Green, Black",Busojara Carnival,Catholic,Floral headdress,Cold Continental,Hungarian folk identity and Pannonian steppe heritage,None,Active,8,4
TG-09134,Legeny Outfit,Legeny Outfit,Hungary,Europe,Magyar,Scarf,Ceremonial,Baroque,Linen,Embroidered cotton,Narrow strip loom,Goldwork couching,"White, Green",Wedding,Hindu cosmic order and divine kingship,Floral headdress,Tropical Humid,Hungarian folk identity and Pannonian steppe heritage,None,Endangered,6,6
TG-09135,Fermeli Jacket,Fermeli Jacket,Greece,Europe,Evzone,Saree,Bridal,Qing Dynasty,Not Documented,Cotton lining,Resist dyeing,Mola reverse applique,N/A,Epiphany,Aztec solar deity,Ornate sword,Tropical Highland,Greek national resistance and War of Independence hero legacy,Medium,Active,7,7
TG-09136,Fesi Cap,Unknown,Greece,Europe,Evzone,Shawl,Royal,19th Century,Silk,Cotton lining,Ndop resist,Zardozi goldwork,"Red, White, Blue",Independence Day Parade,Andean Pachamama earth spirit,Ornate sword,Island Maritime,Greek national resistance and War of Independence hero legacy,Medium,Extinct,5,5
TG-09137,Cojocel Sheepskin Vest,,Romania,Europe,Transylvanian,Festival Costume,Daily,N/A,Sheepskin,None,Block printing,Kantha running stitch,"White, Black",Harvest,,Floral crown,Arctic Tundra,,,Active,1,9
TG-09138,Ie White Blouse,Unknown,Romania,Europe,N/A,Ie Jacket,Religious,Medieval 1000-1400 CE,Cotton,None,Felt pressing,Goldwork couching,"Red, Blue, White",Harvest,N/A,Ie embroidered collar,Mediterranean,Romanian Dacian-Slavic folk identity and Orthodox faith,None,Active,10,9
TG-09139,Caciula Hat,Not Documented,Romania,Europe,Transylvanian,Veil,Royal,Renaissance,Hand-woven linen,Cotton,Ndop resist,Drawn thread,"Black, Blue",Harvest,Romanian Orthodox,Leather sash,Mountain Desert,Romanian Dacian-Slavic folk identity and Orthodox faith,Low,Endangered,1,9
TG-09140,Fota Skirt,Fota Skirt,Romania,Europe,Transylvanian,Dance Costume,Royal,Pre-Columbian,Hand-woven linen,None,Ndop resist,None,"Blue, Black",Harvest,Islamic modesty and geometric pattern,Opinci sandals,Equatorial Rainforest,Romanian Dacian-Slavic folk identity and Orthodox faith,Very High,Active,8,7
TG-09141,Plakhta Skirt,Plakhta Skirt,Ukraine,Europe,Cossack Ukrainian,Cloak,Daily,18th Century,Hemp,None,Card weaving,Not Documented,"Red, Blue",Easter,Buddhist merit and dharma symbolism,Necklace coral,Continental Steppe,Ukrainian national identity and Cossack freedom spirit,Very High,Endangered,5,1
TG-09142,Kreshanky Wrap,Not Documented,Ukraine,Europe,Cossack Ukrainian,Shirt,Headwear,Post-Colonial Modern,Cotton,Cotton lining,Knotted pile,N/A,"Black, White, Blue",Wedding,None,Necklace coral,Continental Steppe,Ukrainian national identity and Cossack freedom spirit,Low,Not Documented,10,7
TG-09143,Poneva Skirt,Poneva Skirt,Russia,Europe,Russian Folk,Cloak,Tribal,Meiji Period,Linen,Cotton lining,Kente strip loom,Crewelwork,"White, Crimson, Deep Blue",Maslenitsa,Animist spirit world connection,Kokoshnik crown,Tropical Humid,Russian Orthodox faith and noble village craft heritage,High,Active,10,3
TG-09144,Sarafan Sundress,Sarafan Sundress,Russia,Europe,Russian Folk,Vest,Warrior,Post-Colonial Modern,Cotton,Silk,Tapestry weave,,,Maslenitsa,Shinto nature kami,Brocade shoes,Tropical Highland,Russian Orthodox faith and noble village craft heritage,None,Endangered,9,9
TG-09145,Lenco Handkerchief,Lenco Handkerchief,Portugal,Europe,Minho,Kaftan,Ceremonial,Qing Dynasty,Linen,None,Mud cloth bogolanfini,Beadwork,"Gold, White, Red",Festas de Lisboa,Shinto nature kami,Embroidered apron,Subtropical Monsoon,Portuguese Minho folk pride and Marian devotion,Low,Active,2,9
TG-09146,Bata de Cola,Bata de Cola,Spain,Europe,Andalusian,Cape,Footwear,Contemporary,Silk,Sequined fabric,Felt pressing,Aari hook stitch,"Gold, Red, White Polka Dot",Feria de Abril,Yoruba Orisha devotion,Carnation,Subtropical Monsoon,Andalusian gitano Romani culture and Moorish-Catholic fusion,Medium,Endangered,7,9
TG-09147,Traje de Flamenca,,,Europe,Andalusian,Kaftan,Outerwear,Al-Andalus-Present,Lace,None,Naalbinding,Cutwork,"Gold, White Polka Dot, Red",Semana Santa,Maya Ixchel moon goddess,Flounce fan,Tropical Highland,Andalusian gitano Romani culture and Moorish-Catholic fusion,Very High,Active,8,4
TG-09148,Huipil Blouse,Huipil Blouse,Mexico,Americas,Zapotec,Kaftan,Festival,Renaissance,Cotton,None,Knotted pile,Beadwork,"Black, Indigo Blue, Cochineal Red",Guelaguetza Dance,Maya Ixchel moon goddess,Huarache sandal,Mountain Desert,Zapotec cosmic calendar and Monte Alban heritage,,Extinct,10,5
TG-09149,Quechquemitl Cape,,Mexico,Americas,Zapotec,Tunic,Accessory,Timurid Era,Cotton,None,,Mirror work shisha,"Black, Cochineal Red, Yellow",Market,Zoroastrian fire and purity,Floral crown,Mediterranean,Zapotec cosmic calendar and Monte Alban heritage,None,Extinct,7,10
TG-09150,Enredo Skirt,Enredo Skirt,Mexico,Americas,Zapotec,Ritual Costume,Royal,Bronze Age,Wool,Wool,Mud cloth bogolanfini,Blackwork,"Indigo Blue, Yellow",Wedding,None,Jade ear spool,Arctic Tundra,Zapotec cosmic calendar and Monte Alban heritage,None,Active,5,8
TG-09151,Hipil Dress,Hipil Dress,Mexico,Americas,Maya Yucatec,Loincloth,Festival,Silk Road Era,Lace,Handwoven cotton,Naalbinding,Tibetan couching,"White, Black",Wedding,Zoroastrian fire and purity,Huarache,Island Maritime,Maya cosmovision and cenote water symbolism,None,Active,6,1
TG-09152,Terno,Unknown,Mexico,Americas,Maya Yucatec,Loincloth,Warrior,Viking Age,Handwoven cotton,Handwoven cotton,Jacquard loom,None,"Flower embroidery colors, White",Wedding,None,Gold earrings,Tropical Highland,Maya cosmovision and cenote water symbolism,None,Active,3,5
TG-09153,Mestiza Dress,Mestiza Dress,Mexico,Americas,Maya Yucatec,Vest,Warrior,Meiji Period,Handwoven cotton,Cotton lining,Card weaving,Crewelwork,"White, Flower embroidery colors, Gold",Hanal Pixan,Christian faith and saint veneration,Huarache,Hot Desert,Maya cosmovision and cenote water symbolism,None,Active,3,9
TG-09154,Montera Hat,Montera Hat,Peru,Americas,Quechua,Veil,Outerwear,Baroque,Alpaca wool,Vicuna fiber,Supplementary weft,Needlepoint,"Gold, Crimson",Carnaval,None,Tupu pin,Subtropical Monsoon,Andean Pachamama cosmology and Inka solar symbolism,High,Reviving,3,7
TG-09155,Awayu Textile,Awayu Textile,Bolivia,Americas,Aymara,Bridal Ensemble,,Unknown,Wool,None,Knotted pile,Needle lace,"Black, Gold, Multicolor",Carnaval de Oruro,Not Documented,Shawl pin,Hot Semi-Arid,Cholita empowerment and Aymara indigenous identity,Low,Endangered,10,10
TG-09156,Pollera Skirt,Pollera Skirt,Bolivia,Americas,Aymara,Cloak,Outerwear,19th Century,Wool,None,Ikat,,"Multicolor, Purple, Black",Not Documented,Animist spirit world connection,Derby hat,Subarctic,Unknown,None,Endangered,6,2
TG-09157,Corte Skirt,Corte Skirt,Guatemala,Americas,Maya Kaqchikel,Jacket,Innerwear,Ancient (pre-500 CE),Handwoven cotton,None,Card weaving,Mola reverse applique,"Red, Multicolor",Wedding,N/A,Tzute headwrap,Highland Tropical,Maya Kaqchikel lineage and weaving as womens identity,None,Extinct,5,6
TG-09158,Tapis Panel,Tapis Panel,Guatemala,Americas,Maya Kaqchikel,Vest,Religious,Baroque,Silk,Ikat,Inkle loom,Kasuti embroidery,"Multicolor, Indigo",Cofradia Ceremony,Buddhist merit and dharma symbolism,Huipil pin,Island Maritime,Maya Kaqchikel lineage and weaving as womens identity,Unknown,Endangered,10,10
TG-09159,Tzute Cloth,Tzute Cloth,Guatemala,Americas,Maya Kaqchikel,Kilt,Ritual,Not Documented,Silk,Ikat,Tapestry weave,Brocade pattern,Unknown,Market Day,Islamic modesty and geometric pattern,Huipil pin,Continental Steppe,Maya Kaqchikel lineage and weaving as womens identity,Unknown,Extinct,5,1
TG-09160,Festival Mola,,Panama,Americas,Kuna,Ceremonial Robe,Daily,Colonial Era 1500-1900,Handwoven,None,Floor loom,Blackwork,"Black, Yellow, Red",Congreso Assembly,Shamanic world tree and axis mundi,Mola blouse,Continental Steppe,Kuna Yala sovereignty and cosmological mola storytelling,Low,Endangered,9,5
TG-09161,Wini Leg Wraps,Wini Leg Wraps,Panama,Americas,Kuna,Kaftan,Outerwear,19th Century,Beaded cotton,Silk thread,None-draped,Cutwork,"Red, Yellow, Black",Congreso Assembly,Islamic modesty and geometric pattern,Gold earrings,Hot Semi-Arid,Kuna Yala sovereignty and cosmological mola storytelling,Medium,Active,5,5
TG-09162,Baiana Dress,Unknown,Brazil,Americas,Bahian Candomble,Body Wrap,Bridal,Mughal Period,Renda lace,Renda lace,Batik wax resist,Phulkari bagh stitch,"Gold, White",Candomble Ritual,N/A,Pano da costa,Cold Alpine,Orixa Yoruba-Brazilian spiritual syncretic identity,Low,Active,6,8
TG-09163,Bumba-meu-boi Costume,N/A,Brazil,Americas,Bahian Candomble,Saree,Royal,Colonial African diaspora,Cotton,Silk organza,Tapestry weave,Renda applique,"Blue, White",Candomble Ritual,None,Unknown,Arctic Tundra,Orixa Yoruba-Brazilian spiritual syncretic identity,Low,Active,3,5
TG-09164,Sombrero Vueltiao,Sombrero Vueltiao,Colombia,Americas,Wayuu,Coat,Warrior,Meiji Period,Palm weave,Fique fiber,Naalbinding,Cutwork,"Yellow, Bright geometric colors",Market,Australian Dreaming ancestors,Sombrero vueltiao,Hot Semi-Arid,Wayuu matrilineal clan and Jepirachi wind cosmology,Low,Active,10,8
TG-09165,Wayuu Mochila Bag Outfit,,Colombia,Americas,Wayuu,Kaftan,Daily,Ancient (pre-500 CE),Palm weave,None,Card weaving,Zardozi goldwork,"Black, Bright geometric colors",Carnaval de Barranquilla,Animist spirit world connection,Sombrero vueltiao,Hot Arid Coast,Wayuu matrilineal clan and Jepirachi wind cosmology,Unknown,Active,9,9
TG-09166,Jingle Dress,Unknown,USA,Americas,Lakota Sioux,Cape,Ceremonial,Ottoman Era,Cotton muslin,None,Narrow strip loom,Kantha running stitch,"Ochre, White",Ghost Dance Movement,Hindu cosmic order and divine kingship,Eagle feather bustle,Tropical Highland,Lakota Wakan Tanka spiritual connection and warrior honor,Low,N/A,10,1
TG-09167,Ghost Dance Shirt,Ghost Dance Shirt,USA,Americas,Lakota Sioux,Armor Suit,Headwear,18th Century,Deerskin,None,Jacquard loom,Goldwork couching,"Ochre, White",Sun Dance,Yoruba Orisha devotion,Beaded moccasins,Subarctic,Lakota Wakan Tanka spiritual connection and warrior honor,High,Endangered,1,10
TG-09168,Burden Strap Outfit,Unknown,Canada,Americas,Haudenosaunee,Dance Costume,Unknown,Pre-Contact-Present,Deerskin,Cotton lining,Batik wax resist,Kasuti embroidery,"White Wampum, Turquoise",Longhouse Ceremony,Maya Ixchel moon goddess,Clan animal brooch,Mediterranean,,Low,Active,6,7
TG-09169,Wampum Belt Outfit,,Canada,Americas,Haudenosaunee,Apron,Outerwear,Victorian,Corn husk fiber,Deerskin,Twined weaving,Silk ribbon embroidery,"White Wampum, Black, Turquoise",Lacrosse,Zoroastrian fire and purity,Wampum belt,Cool Temperate Forest,Haudenosaunee Confederacy law and Great Spirit covenant,Low,Endangered,5,4
TG-09170,Gustoweh Feathered Hat,Gustoweh Feathered Hat,Canada,Americas,Haudenosaunee,Armor Suit,Ceremonial,Early 20th Century,Beaded wool,Beaded wool,Inkle loom,Not Documented,"Turquoise, White Wampum",Condolence,Animist spirit world connection,Longhouse face paint,Subtropical Monsoon,Haudenosaunee Confederacy law and Great Spirit covenant,Very High,Active,6,1
TG-09171,False Face Robe,False Face Robe,Canada,Americas,Not Documented,Headdress,Ceremonial,Renaissance,Corn husk fiber,Cotton lining,Plain weave,Blackwork,"Red, White Wampum, Black",Midwinter Ceremony,None,Clan animal brooch,Cool Temperate Forest,Haudenosaunee Confederacy law and Great Spirit covenant,Not Documented,Active,6,7
TG-09172,Kuspuk Parka,Kuspuk Parka,Alaska USA,Arctic,Yupik Eskimo,Ceremonial Robe,Accessory,Colonial Era 1500-1900,Sea mammal intestine,None,Jacquard loom,None,"White, Black",Messenger Feast,None,Bladder float,Tropical Humid,Unknown,Low,Reviving,9,2
TG-09173,Anorak Amaat Parka,Unknown,Greenland,Arctic,Kalaallit,Coat,Outerwear,Pre-Columbian,Ringed seal,Ringed seal,Knotted pile,Suzani chain stitch,Unknown,Hunter Return,Inuit spirituality-Lutheran,Kamik boots,Mountain Desert,Kalaallit Inuit identity and Arctic survival kinship,None,Active,2,3
TG-09174,Kamiks Boots,Not Documented,Greenland,Arctic,Kalaallit,Bridal Ensemble,Ritual,Renaissance,Sealskin,Polar bear fur,Mud cloth bogolanfini,Beadwork,"Colorful beads, White, Brown",Midnight Sun Festival,Andean Pachamama earth spirit,Kamik boots,Island Maritime,Kalaallit Inuit identity and Arctic survival kinship,Medium,Extinct,7,6
TG-09175,Beaded Collar,Beaded Collar,Greenland,Arctic,Kalaallit,Jacket,Court,Baroque,,Dog skin,Drawloom,None,Unknown,Midnight Sun Festival,Aztec solar deity,Large beaded collar,Mediterranean,Kalaallit Inuit identity and Arctic survival kinship,Low,Active,3,5
TG-09176,Caribou Parka,Unknown,Canada,Arctic,Inuvialuit,Kilt,Footwear,Early Modern 1400-1700,Muskrat fur,Muskrat fur,Floor loom,Kasuti embroidery,"Black, White, Tan",Trade Gathering,Australian Dreaming ancestors,Trade bead necklace,Hot Desert,Unknown,None,Extinct,6,8
TG-09177,Komager Shoes,Komager Shoes,Finland,Arctic,Sami,Loincloth,Warrior,Ancient (pre-500 CE),Reindeer hide,Cotton lining,Jacquard loom,Phulkari bagh stitch,"Green, Yellow, Red",Wedding,Australian Dreaming ancestors,Tin thread necklace,Subarctic,Sami Noaidi shamanic tradition and reindeer herding identity,Medium,Active,3,5
TG-09178,Pakhat Hat,Pakhat Hat,Finland,Arctic,Sami,Gown,Bridal,Early Medieval 500-1000 CE,Wool broadcloth,Linen,Tie-dye,Phulkari bagh stitch,"Yellow, Green",Sami National Day,Zoroastrian fire and purity,Carved brooch,Mountain Desert,Sami Noaidi shamanic tradition and reindeer herding identity,Low,Active,9,5
TG-09179,Collar Necklace,Collar Necklace,Finland,Arctic,Sami,Cape,Ritual,Medieval 1000-1400 CE,Felt,None,Hand spinning,Shadow work,"Royal Blue, Green, Red",Easter Joik,Australian Dreaming ancestors,,Continental Steppe,Sami Noaidi shamanic tradition and reindeer herding identity,None,Endangered,8,1
TG-09180,Gakti Festival Costume,Gakti Festival Costume,Finland,Arctic,Sami,Blouse,Ceremonial,Mughal Period,Felt,Linen,Shibori,Mirror work shisha,"Yellow, Royal Blue, Red",Wedding,Yoruba Orisha devotion,Carved brooch,Tropical Humid,Sami Noaidi shamanic tradition and reindeer herding identity,Very High,N/A,1,8
TG-09181,Kahu Huruhuru Feather Cloak,N/A,New Zealand,Pacific Islands,Maori,Apron,Royal,Pre-Columbian,Dog skin,None,Unknown,Tibetan couching,"Black, White",Haka War Dance,N/A,Hei-tiki,Cold Alpine,Maori whakapapa genealogy and mana spiritual prestige,None,Extinct,9,5
TG-09182,Taniko Woven Cloak,Unknown,New Zealand,Pacific Islands,Maori,Sash,Daily,Pre-Columbian,Kiwi feathers,Albatross feathers,Supplementary weft,Phulkari bagh stitch,"Black, White",Powhiri Welcome,Australian Dreaming ancestors,Huia feather,Hot Desert,Maori whakapapa genealogy and mana spiritual prestige,High,Active,2,4
TG-09183,Ceremonial Robe,Ceremonial Robe,New Zealand,Pacific Islands,Maori,Veil,Outerwear,Ancient (pre-500 CE),Kiwi feathers,None,Twill,Smocking,"Black, White",Powhiri Welcome,Confucian social hierarchy,Pounamu greenstone,Tropical Dry Savanna,Maori whakapapa genealogy and mana spiritual prestige,Low,Active,7,8
TG-09184,Piupiu Flax Skirt,Piupiu Flax Skirt,New Zealand,Pacific Islands,Maori,Ritual Costume,Footwear,Iron Age,Kiwi feathers,Dog skin,Dovetail tapestry,Kasuti embroidery,"Red Ochre, Black",Matauranga Ceremony,Islamic modesty and geometric pattern,Pounamu greenstone,Subarctic,Maori whakapapa genealogy and mana spiritual prestige,Medium,Active,5,8
TG-09185,Hula Pau Skirt,Hula Pau Skirt,Hawaii USA,Pacific Islands,Native Hawaiian,Tunic,Royal,Bronze Age,Pandanus leaf,Lauhala woven,Felt pressing,Mola reverse applique,"Red, Yellow, Black",Healing Ritual,Zoroastrian fire and purity,Niho palaoa hook necklace,Subarctic,Mana divine power and alii royal genealogy,Low,Extinct,7,1
