id,name,org,family,release_date,architecture,param_count_b,context_length,is_open_source,is_multimodal,supports_function_calling,license,hf_model_id,tags,is_multimodal_or
microsoft/harrier-oss-v1-270m,google/t5gemma-s-s-prefixlm,IAMJB,Qwen,2026-02-11 04:05:41+00:00,transformer,31.36459340731655,131072.0,True,False,False,apache-2.0,Qwen/Qwen3-8B,"['transformers', 'safetensors', 'phi3', 'text-generation', 'nlp', 'code', 'conversational', 'custom_code', 'multilingual', 'ar', 'zh', 'cs', 'da', 'nl', 'en', 'fi', 'fr', 'de', 'he', 'hu', 'it', 'ja', 'ko', 'no', 'pl', 'pt', 'ru', 'es', 'sv', 'th', 'tr', 'uk', 'license:mit', 'text-generation-inference', 'endpoints_compatible', 'region:us']",False
Qwen/Qwen3Guard-Gen-0.6B,nvidia/llama-nemotron-embed-1b-v2,relik-ie,Qwen,2026-01-30 20:18:44+00:00,transformer,7.278877729882234,131072.0,True,False,False,other,jinaai/jina-clip-v2,"['sentence-transformers', 'pytorch', 'onnx', 'safetensors', 'bert', 'fill-mask', 'feature-extraction', 'sentence-similarity', 'mteb', 'transformers', 'transformers.js', 'custom_code', 'en', 'dataset:allenai/c4', 'license:apache-2.0', 'text-embeddings-inference', 'region:eu']",False
BAAI/bge-base-en-v1.5,intfloat/e5-mistral-7b-instruct,voyageai,Qwen,2025-07-28 07:31:27+00:00,transformer,7.297834076917791,131072.0,True,False,False,mit,prithivida/Splade_PP_en_v2,"['sentence-transformers', 'pytorch', 'safetensors', 'mistral', 'feature-extraction', 'mteb', 'transformers', 'en', 'license:mit', 'model-index', 'eval-results', 'text-embeddings-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']",False
BAAI/bge-multilingual-gemma2,nvidia/DeepSeek-R1-0528-NVFP4-v2,Xenova,Qwen,2026-05-01 01:26:06+00:00,transformer,5.542075870327939,131072.0,True,False,False,apache-2.0,jinaai/jina-embeddings-v5-text-nano,"['sentence-transformers', 'pytorch', 'bert', 'splade', 'query-expansion', 'document-expansion', 'bag-of-words', 'passage-retrieval', 'knowledge-distillation', 'sparse-encoder', 'sparse', 'feature-extraction', 'en', 'dataset:ms_marco', 'license:cc-by-nc-sa-4.0', 'text-embeddings-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']",False
Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,meta-llama/Llama-3.1-8B-Instruct,Qwen,Qwen,2024-12-26 15:07:35+00:00,mixture-of-experts,6.789076820382403,131072.0,True,False,False,apache-2.0,h2oai/h2ovl-mississippi-2b,"['transformers', 'safetensors', 'deepseek_v4', 'text-generation', 'conversational', 'license:mit', 'eval-results', 'endpoints_compatible', '8-bit', 'fp8', 'region:us']",False
zai-org/GLM-5.1-FP8,prithivida/Splade_PP_en_v2,Qwen,OPT,2025-06-03 14:31:33+00:00,transformer,72.63920409138807,131072.0,True,False,False,mit,laion/clap-htsat-unfused,"['transformers.js', 'onnx', 'bert', 'feature-extraction', 'base_model:BAAI/bge-base-en-v1.5', 'base_model:quantized:BAAI/bge-base-en-v1.5', 'license:mit', 'region:us']",False
BAAI/bge-reranker-large,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,intfloat,Qwen,2024-12-18 15:03:47+00:00,transformer,6.963018416911807,131072.0,True,False,False,apache-2.0,BAAI/bge-base-en,"['transformers', 'pytorch', 'safetensors', 'hubert', 'feature-extraction', 'speech', 'en', 'dataset:librispeech_asr', 'license:apache-2.0', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
Qwen/Qwen2.5-72B-Instruct,laion/clap-htsat-unfused,Qwen,Llama,2022-03-02 23:29:05+00:00,transformer,5.937236434041833,131072.0,True,False,False,apache-2.0,datajuicer/LLaMA-1B-dj-refine-150B,"['transformers.js', 'onnx', 'bert', 'feature-extraction', 'base_model:intfloat/multilingual-e5-small', 'base_model:quantized:intfloat/multilingual-e5-small', 'region:us']",False
intfloat/multilingual-e5-large,BAAI/bge-large-en-v1.5,llamafactory,Qwen,2026-01-22 09:42:41+00:00,transformer,6.960365824664562,131072.0,True,False,False,mit,meta-llama/Llama-3.2-1B-Instruct,"['transformers', 'safetensors', 'deepseek_v4', 'text-generation', 'conversational', 'license:mit', 'eval-results', 'endpoints_compatible', '8-bit', 'fp8', 'region:us']",False
sentence-transformers/distilbert-base-nli-mean-tokens,Qwen/Qwen2.5-1.5B-Instruct,facebook,Qwen,2024-10-15 18:15:29+00:00,transformer,8.288837418904173,131072.0,True,False,False,apache-2.0,llamafactory/tiny-random-Llama-3,"['transformers', 'pytorch', 'tf', 'jax', 'gpt2', 'text-generation', 'text-generation-inference', 'endpoints_compatible', 'region:us']",False
microsoft/wavlm-base-plus,Xenova/paraphrase-multilingual-MiniLM-L12-v2,unslothai,Qwen,2024-09-17 13:56:47+00:00,transformer,14.943040606918512,131072.0,True,False,False,llama3.3,ncbi/MedCPT-Query-Encoder,"['transformers', 'safetensors', 'xlm-roberta', 'feature-extraction', 'mteb', 'fr', 'license:mit', 'model-index', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",False
ncbi/MedCPT-Query-Encoder,Qwen/Qwen3-1.7B,BAAI,Qwen,2026-04-03 09:29:04+00:00,transformer,6.953105552073663,131072.0,True,False,False,apache-2.0,jinaai/jina-embeddings-v2-base-de,"['transformers', 'pytorch', 'safetensors', 'mistral', 'text-generation', 'finetuned', 'mistral-common', 'conversational', 'license:apache-2.0', 'text-generation-inference', 'region:us', 'deploy:azure']",False
HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB/SmolLM2-135M-Instruct,openai,Qwen,2024-07-31 11:26:21+00:00,transformer,2.2195936042483506,131072.0,True,False,False,apache-2.0,cambridgeltl/SapBERT-from-PubMedBERT-fulltext-mean-token,"['transformers', 'pytorch', 'jax', 'bert', 'feature-extraction', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
openai-community/gpt2,microsoft/harrier-oss-v1-0.6b,unslothai,Qwen,2025-04-27 03:42:45+00:00,transformer,6.7228059192136325,131072.0,True,False,False,apache-2.0,indobenchmark/indobert-base-p1,"['transformers', 'safetensors', 'llama', 'feature-extraction', 'endpoints_compatible', 'region:us']",False
zai-org/GLM-5.1-FP8,ricdomolm/mini-coder-1.7b,Xenova,Qwen,2024-07-08 17:00:57+00:00,transformer,5.711339505000074,131072.0,True,False,False,apache-2.0,ibm-research/PowerMoE-3b,"['sentence-transformers', 'safetensors', 'qwen3', 'text-generation', 'transformers', 'sentence-similarity', 'feature-extraction', 'text-embeddings-inference', 'base_model:Qwen/Qwen3-8B-Base', 'base_model:finetune:Qwen/Qwen3-8B-Base', 'license:apache-2.0', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
farbodtavakkoli/OTel-Embedding-300M,DeepPavlov/rubert-base-cased,nreimers,Qwen,2024-04-12 21:52:12+00:00,transformer,19.300814212124788,131072.0,True,False,False,apache-2.0,Qwen/Qwen3-30B-A3B,"['sentence-transformers', 'onnx', 'safetensors', 'openvino', 'bert', 'feature-extraction', 'mteb', 'sentence_embedding', 'feature_extraction', 'transformers', 'transformers.js', 'en', 'license:mit', 'model-index', 'text-embeddings-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']",False
Qwen/Qwen3-14B,TheBloke/TinyLlama-1.1B-Chat-v0.3-GPTQ,naver,Qwen,2022-03-02 23:29:05+00:00,transformer,8.182033334921984,131072.0,True,False,False,apache-2.0,openai/gpt-oss-20b,"['sentence-transformers', 'safetensors', 't5', 'mteb', 'transformers', 'feature-extraction', 'ru', 'en', 'dataset:ai-forever/solyanka', 'base_model:ai-forever/FRED-T5-1.7B', 'base_model:finetune:ai-forever/FRED-T5-1.7B', 'license:mit', 'model-index', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
YituTech/conv-bert-base,sshleifer/tiny-gpt2,nvidia,Qwen,2025-06-19 20:42:56+00:00,transformer,0.7927754279216029,131072.0,True,False,False,apache-2.0,ai-forever/ru-en-RoSBERTa,"['transformers', 'safetensors', 'gpt_oss', 'text-generation', 'vllm', 'conversational', 'license:apache-2.0', 'eval-results', 'endpoints_compatible', '8-bit', 'mxfp4', 'deploy:azure', 'region:us']",False
unslothai/vram-80,facebook/w2v-bert-2.0,unslothai,Qwen,2024-07-07 17:04:16+00:00,transformer,6.81592549476068,131072.0,True,False,False,apache-2.0,Qwen/Qwen2-0.5B-Instruct,"['transformers', 'pytorch', 'onnx', 'safetensors', 'feature-extraction', 'sentence-similarity', 'mteb', 'sentence-transformers', 'custom_code', 'multilingual', 'af', 'am', 'ar', 'as', 'az', 'be', 'bg', 'bn', 'br', 'bs', 'ca', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'fy', 'ga', 'gd', 'gl', 'gu', 'ha', 'he', 'hi', 'hr', 'hu', 'hy', 'id', 'is', 'it', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ku', 'ky', 'la', 'lo', 'lt', 'lv', 'mg', 'mk', 'ml', 'mn', 'mr', 'ms', 'my', 'ne', 'nl', 'no', 'om', 'or', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sa', 'sd', 'si', 'sk', 'sl', 'so', 'sq', 'sr', 'su', 'sv', 'sw', 'ta', 'te', 'th', 'tl', 'tr', 'ug', 'uk', 'ur', 'uz', 'vi', 'xh', 'yi', 'zh', 'license:cc-by-nc-4.0', 'model-index', 'eval-results', 'region:eu']",False
unslothai/vram-96,Qwen/Qwen3-0.6B,Qwen,Qwen,2024-11-06 07:49:46+00:00,transformer,6.773228427882243,131072.0,True,False,False,apache-2.0,cambridgeltl/SapBERT-from-PubMedBERT-fulltext,"['sentence-transformers', 'pytorch', 'bert', 'splade', 'sparse-encoder', 'sparse', 'feature-extraction', 'en', 'license:cc-by-nc-sa-4.0', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",False
Qwen/Qwen3Guard-Gen-0.6B,Qwen/Qwen3-30B-A3B,farbodtavakkoli,GPT,2024-09-15 12:17:40+00:00,transformer,8.440123550998663,131072.0,True,False,False,llama3.2,laion/clap-htsat-unfused,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'conversational', 'en', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
BAAI/bge-small-zh,unslothai/vram-40,Qwen,Llama,2024-07-07 17:04:16+00:00,transformer,73.22973411665507,131072.0,True,False,False,apache-2.0,BAAI/bge-multilingual-gemma2,"['sentence-transformers', 'safetensors', 'roberta', 'feature-extraction', 'mteb', 'transformers', 'ru', 'en', 'base_model:ai-forever/ruRoberta-large', 'base_model:finetune:ai-forever/ruRoberta-large', 'license:mit', 'model-index', 'text-embeddings-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
prefeitura-rio/Rio-3.0-Open-Mini,Qwen/Qwen2.5-7B-Instruct,unslothai,Qwen,2026-02-18 09:56:14+00:00,transformer,2.6780926778973893,131072.0,True,False,False,apache-2.0,ncbi/MedCPT-Article-Encoder,"['transformers', 'safetensors', 'deepseek_v32', 'text-generation', 'conversational', 'base_model:deepseek-ai/DeepSeek-V3.2-Exp-Base', 'base_model:finetune:deepseek-ai/DeepSeek-V3.2-Exp-Base', 'license:mit', 'eval-results', 'endpoints_compatible', 'fp8', 'region:us']",False
deepseek-ai/DeepSeek-V4-Pro,jinaai/jina-clip-v2,Qwen,GPT,2022-03-02 23:29:05+00:00,transformer,6.879712015185836,131072.0,True,False,False,apache-2.0,farbodtavakkoli/OTel-Embedding-109M,"['transformers', 'pytorch', 'onnx', 'safetensors', 'bert', 'feature-extraction', 'mteb', 'en', 'license:mit', 'model-index', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",False
meta-llama/Llama-3.3-70B-Instruct,descript/dac_44khz,facebook,Gemma,2025-09-23 11:35:17+00:00,transformer,1.2235846896845253,131072.0,True,False,False,apache-2.0,ibm-granite/granite-embedding-small-english-r2,"['transformers.js', 'onnx', 'bert', 'feature-extraction', 'base_model:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2', 'base_model:quantized:sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2', 'region:us']",False
Qwen/Qwen2.5-7B,cambridgeltl/SapBERT-from-PubMedBERT-fulltext,google,Qwen,2025-01-20 03:46:07+00:00,transformer,5.852943288927965,131072.0,True,True,False,apache-2.0,princeton-nlp/sup-simcse-roberta-base,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-3B', 'base_model:finetune:Qwen/Qwen2.5-3B', 'license:other', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
apple/OpenELM-1_1B-Instruct,Andycurrent/Gemma-3-1B-it-GLM-4.7-Flash-Heretic-Uncensored-Thinking_GGUF,ibm-granite,Qwen,2022-03-02 23:29:05+00:00,transformer,9.117024935070747,131072.0,True,False,False,apache-2.0,BAAI/bge-base-en,"['transformers', 'safetensors', 'gpt_oss', 'text-generation', 'vllm', 'conversational', 'license:apache-2.0', 'eval-results', 'endpoints_compatible', '8-bit', 'mxfp4', 'deploy:azure', 'region:us']",False
unslothai/vram-24,Qwen/Qwen2.5-14B-Instruct,Qwen,Qwen,2022-03-02 23:29:05+00:00,transformer,0.8167929636115405,131072.0,True,False,False,other,Qwen/Qwen2.5-Coder-14B-Instruct,"['sentence-transformers', 'safetensors', 'bert', 'feature-extraction', 'sentence-similarity', 'mteb', 'custom_code', 'en', 'dataset:allenai/c4', 'license:apache-2.0', 'model-index', 'text-embeddings-inference', 'region:us']",False
unslothai/vram-96,Qwen/Qwen3-32B-AWQ,EleutherAI,DeepSeek,2023-10-30 10:08:31+00:00,transformer,7.163950210486518,131072.0,True,False,False,apache-2.0,BAAI/bge-small-zh-v1.5,"['transformers', 'safetensors', 'bert', 'feature-extraction', 'custom_code', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",False
Qwen/Qwen2.5-0.5B-Instruct,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,unsloth,Qwen,2023-12-19 07:41:49+00:00,transformer,19.170095663689345,131072.0,True,False,False,apache-2.0,meta-llama/Llama-3.3-70B-Instruct,"['gguf', 'qwen3_next', 'unsloth', 'qwen', 'qwen3', 'text-generation', 'base_model:Qwen/Qwen3-Coder-Next', 'base_model:quantized:Qwen/Qwen3-Coder-Next', 'license:apache-2.0', 'endpoints_compatible', 'region:us', 'imatrix', 'conversational']",False
jinaai/jina-clip-v2,deepseek-ai/DeepSeek-V3,jinaai,Qwen,2025-06-03 14:39:10+00:00,transformer,6.554632272583757,131072.0,True,False,False,llama3,BAAI/bge-base-en,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
jinaai/jina-clip-v2,Qwen/Qwen2.5-7B-Instruct-AWQ,Qwen,Qwen,2024-07-17 07:51:35+00:00,transformer,6.366767409479037,131072.0,True,False,False,apache-2.0,Qwen/Qwen3-30B-A3B,"['transformers', 'pytorch', 'safetensors', 'mistral', 'text-generation', 'pretrained', 'mistral-common', 'en', 'license:apache-2.0', 'text-generation-inference', 'region:us']",False
zeroentropy/zembed-1-embedding,sonoisa/sentence-bert-base-ja-mean-tokens,mixedbread-ai,Qwen,2024-02-08 12:59:32+00:00,transformer,0.5402559439472752,131072.0,True,False,False,apache-2.0,ragavsachdeva/magi,"['transformers', 'safetensors', 'qwen3', 'text-generation', 'conversational', 'base_model:Qwen/Qwen3-1.7B-Base', 'base_model:finetune:Qwen/Qwen3-1.7B-Base', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
jinaai/jina-clip-v2,OrdalieTech/Solon-embeddings-large-0.1,openai,Llama,2024-05-15 05:34:09+00:00,transformer,6.592254407622612,131072.0,True,False,False,apache-2.0,dmis-lab/biobert-v1.1,"['transformers', 'pytorch', 'safetensors', 'gpt_neox', 'text-generation', 'causal-lm', 'pythia', 'en', 'dataset:EleutherAI/the_pile_deduplicated', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']",False
Qwen/Qwen3-30B-A3B,mixedbread-ai/mxbai-embed-2d-large-v1,princeton-nlp,Llama,2025-06-03 14:39:10+00:00,transformer,6.585337098098452,131072.0,True,False,False,mit,intfloat/multilingual-e5-large,"['transformers', 'safetensors', 'gemma3_text', 'text-generation', 'gemma3', 'gemma', 'google', 'license:gemma', 'text-generation-inference', 'endpoints_compatible', 'region:us']",False
Xenova/multilingual-e5-small,unslothai/1,unslothai,Llama,2025-05-01 10:38:33+00:00,transformer,7.630261399719114,131072.0,True,False,False,apache-2.0,ibm-granite/granite-embedding-small-english-r2,"['transformers', 'pytorch', 'tf', 'jax', 'tflite', 'rust', 'coreml', 'safetensors', 'gpt2', 'text-generation', 'exbert', 'en', 'dataset:openwebtext', 'license:apache-2.0', 'model-index', 'co2_eq_emissions', 'text-generation-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']",False
nvidia/DeepSeek-R1-0528-NVFP4-v2,Qwen/Qwen2.5-1.5B-Instruct,openai,Qwen,2024-11-25 15:06:15+00:00,transformer,6.16437773549202,131072.0,True,False,False,apache-2.0,moonshotai/Kimi-K2-Instruct-0905,"['transformers', 'safetensors', 'gpt_oss', 'text-generation', 'vllm', 'conversational', 'license:apache-2.0', 'eval-results', 'endpoints_compatible', '8-bit', 'mxfp4', 'deploy:azure', 'region:us']",False
openai-community/gpt2-large,ibm-granite/granite-embedding-small-english-r2,farbodtavakkoli,DeepSeek,2024-01-12 14:04:50+00:00,transformer,7.166798382402149,131072.0,True,False,False,apache-2.0,Andycurrent/Gemma-3-1B-it-GLM-4.7-Flash-Heretic-Uncensored-Thinking_GGUF,"['sentence-transformers', 'safetensors', 'qwen3', 'finance', 'legal', 'healthcare', 'code', 'stem', 'medical', 'multilingual', 'feature-extraction', 'en', 'base_model:Qwen/Qwen3-4B', 'base_model:finetune:Qwen/Qwen3-4B', 'license:cc-by-nc-4.0', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",False
microsoft/wavlm-base-plus,meta-llama/Llama-3.2-1B,facebook,Qwen,2022-03-02 23:29:05+00:00,transformer,7.921158528749731,131072.0,True,False,False,mit,intfloat/multilingual-e5-large-instruct,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-7B', 'base_model:finetune:Qwen/Qwen2.5-7B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
Qwen/Qwen3-30B-A3B,Qwen/Qwen3-32B,BAAI,Phi,2024-07-31 11:26:21+00:00,transformer,71.61186283858535,131072.0,True,False,False,apache-2.0,nlpai-lab/KURE-v1,"['Model Optimizer', 'safetensors', 'deepseek_v3', 'nvidia', 'ModelOpt', 'DeepSeekR1', 'quantized', 'FP4', 'text-generation', 'conversational', 'custom_code', 'base_model:deepseek-ai/DeepSeek-R1-0528', 'base_model:finetune:deepseek-ai/DeepSeek-R1-0528', 'license:mit', '8-bit', 'region:us']",False
microsoft/wavlm-large,descript/dac_44khz,Qwen,Qwen,2026-02-09 12:38:20+00:00,transformer,25.457028498935415,131072.0,True,False,False,apache-2.0,jinaai/jina-embeddings-v5-text-nano,"['Model Optimizer', 'safetensors', 'kimi_k25', 'nvidia', 'ModelOpt', 'Kimi-K2', 'quantized', 'FP4', 'text-generation', 'conversational', 'custom_code', 'base_model:moonshotai/Kimi-K2.5', 'base_model:quantized:moonshotai/Kimi-K2.5', 'license:other', 'modelopt', 'region:us']",False
Qwen/Qwen3Guard-Gen-0.6B,Qwen/Qwen3-14B-AWQ,laion,Llama,2025-08-05 18:50:31+00:00,transformer,6.825651193498853,131072.0,True,False,False,apache-2.0,google/t5gemma-s-s-prefixlm,"['safetensors', 'qwen2', 'chat', 'neuralmagic', 'llmcompressor', 'text-generation', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-1.5B', 'base_model:quantized:Qwen/Qwen2.5-1.5B', 'license:apache-2.0', '8-bit', 'compressed-tensors', 'region:us']",False
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,laion/clap-htsat-unfused,meta-llama,Qwen,2022-03-02 23:29:04+00:00,transformer,7.892241693989003,131072.0,True,False,False,apache-2.0,Qwen/Qwen3-30B-A3B-Instruct-2507,"['transformers', 'pytorch', 'wavlm', 'feature-extraction', 'speech', 'en', 'deploy:azure', 'region:us']",False
jinaai/jina-embeddings-v5-text-small,zai-org/GLM-5-FP8,ibm-research,Qwen,2022-03-02 23:29:05+00:00,transformer,7.146806154713498,131072.0,True,False,False,apache-2.0,Qwen/Qwen2.5-14B-Instruct,"['Model Optimizer', 'safetensors', 'deepseek_v3', 'nvidia', 'ModelOpt', 'DeepSeekR1', 'quantized', 'FP4', 'text-generation', 'conversational', 'custom_code', 'base_model:deepseek-ai/DeepSeek-R1-0528', 'base_model:finetune:deepseek-ai/DeepSeek-R1-0528', 'license:mit', '8-bit', 'region:us']",False
Qwen/Qwen2-1.5B-Instruct,DeepPavlov/rubert-base-cased,Qwen,GPT,2026-02-02 10:27:57+00:00,transformer,6.598235641035029,131072.0,True,False,False,apache-2.0,GPTCache/paraphrase-albert-small-v2,"['transformers', 'safetensors', 'llama', 'text-generation', 'conversational', 'en', 'dataset:cerebras/SlimPajama-627B', 'dataset:bigcode/starcoderdata', 'dataset:HuggingFaceH4/ultrachat_200k', 'dataset:HuggingFaceH4/ultrafeedback_binarized', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']",False
dmis-lab/biobert-v1.1,Qwen/Qwen3-Embedding-4B,unslothai,Qwen,2026-01-30 20:18:44+00:00,transformer,7.36596227653528,131072.0,True,False,False,other,HuggingFaceTB/SmolLM2-135M,"['transformers', 'safetensors', 'qwen3_moe', 'text-generation', 'conversational', 'license:apache-2.0', 'eval-results', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
meta-llama/Llama-3.3-70B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,BAAI,Qwen,2022-03-02 23:29:05+00:00,transformer,13.166321946779902,131072.0,True,False,False,apache-2.0,IAMJB/RadEvalModernBERT,"['transformers', 'safetensors', 'deepseek_v32', 'text-generation', 'conversational', 'base_model:deepseek-ai/DeepSeek-V3.2-Exp-Base', 'base_model:finetune:deepseek-ai/DeepSeek-V3.2-Exp-Base', 'license:mit', 'eval-results', 'endpoints_compatible', 'fp8', 'region:us']",False
microsoft/Phi-4-mini-instruct,Xenova/bge-small-en-v1.5,intfloat,Qwen,2022-03-02 23:29:05+00:00,transformer,1.5153211608132835,131072.0,True,False,False,apache-2.0,facebook/w2v-bert-2.0,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'roberta', 'feature-extraction', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,TheBloke/TinyLlama-1.1B-Chat-v0.3-GPTQ,farbodtavakkoli,Qwen,2025-07-19 20:44:10+00:00,transformer,7.3090350819126,131072.0,True,False,False,apache-2.0,openai/gpt-oss-120b,"['safetensors', 'llama', 'llama-3', 'neuralmagic', 'llmcompressor', 'text-generation', 'conversational', 'en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th', 'base_model:meta-llama/Llama-3.2-1B-Instruct', 'base_model:quantized:meta-llama/Llama-3.2-1B-Instruct', 'license:llama3.2', 'compressed-tensors', 'region:us']",False
meta-llama/Llama-3.2-1B-Instruct,BAAI/bge-base-zh-v1.5,datajuicer,Qwen,2026-04-22 06:04:20+00:00,transformer,6.767200404156194,131072.0,True,False,False,apache-2.0,apple/OpenELM-1_1B-Instruct,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'roberta', 'feature-extraction', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,nvidia/Kimi-K2.5-NVFP4,danielheinz,Qwen,2025-12-06 06:00:45+00:00,transformer,6.365766529307812,131072.0,True,False,False,apache-2.0,Xenova/paraphrase-multilingual-MiniLM-L12-v2,"['transformers', 'safetensors', 'llama', 'feature-extraction', 'endpoints_compatible', 'region:us']",False
HuggingFaceTB/SmolLM2-135M-Instruct,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,jinaai,Qwen,2025-05-03 03:20:49+00:00,transformer,6.329391554474584,131072.0,True,False,False,apache-2.0,deepseek-ai/DeepSeek-V3.2,"['transformers', 'pytorch', 'safetensors', 'mistral', 'text-generation', 'pretrained', 'mistral-common', 'en', 'license:apache-2.0', 'text-generation-inference', 'region:us']",False
YituTech/conv-bert-base,nlpai-lab/KURE-v1,meta-llama,Mistral,2024-07-18 08:56:00+00:00,transformer,2.1044893868285115,131072.0,True,False,False,other,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,"['transformers', 'safetensors', 'deepseek_v3', 'text-generation', 'conversational', 'custom_code', 'license:mit', 'eval-results', 'text-generation-inference', 'endpoints_compatible', 'fp8', 'region:us']",False
Qwen/Qwen2.5-72B-Instruct-AWQ,BAAI/bge-base-en-v1.5,facebook,Qwen,2026-01-22 09:42:41+00:00,transformer,1.929494120875833,131072.0,True,False,False,apache-2.0,cambridgeltl/SapBERT-from-PubMedBERT-fulltext,"['transformers', 'safetensors', 'qwen3', 'text-generation', 'conversational', 'license:apache-2.0', 'eval-results', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
Qwen/Qwen3-32B-AWQ,relik-ie/encoder-e5-small-v2-wikipedia-relations,laion,Qwen,2026-01-22 09:42:12+00:00,transformer,6.517995767343624,131072.0,True,False,False,cc-by-nc-4.0,nvidia/Gemma-4-31B-IT-NVFP4,"['transformers', 'safetensors', 'qwen3_next', 'text-generation', 'conversational', 'license:apache-2.0', 'eval-results', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
BAAI/bge-small-zh-v1.5,unslothai/vram-80,descript,Llama,2025-04-27 03:41:05+00:00,transformer,7.346683893825688,131072.0,True,False,False,mit,RedHatAI/Llama-3.2-1B-Instruct-FP8,"['transformers', 'safetensors', 'deepseek_v3', 'text-generation', 'conversational', 'custom_code', 'license:mit', 'eval-results', 'text-generation-inference', 'endpoints_compatible', 'fp8', 'region:us']",False
unslothai/vram-96,Qwen/Qwen3-14B,Xenova,Qwen,2024-11-26 16:08:47+00:00,transformer,5.421554011661868,131072.0,True,False,False,mit,zeroentropy/zembed-1-embedding,"['sentence-transformers', 'pytorch', 'bert', 'splade', 'query-expansion', 'document-expansion', 'bag-of-words', 'passage-retrieval', 'knowledge-distillation', 'sparse-encoder', 'sparse', 'feature-extraction', 'en', 'dataset:ms_marco', 'license:cc-by-nc-sa-4.0', 'text-embeddings-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']",False
binedge/Qwen3-Embedding-0.6B-FP8,meta-llama/Llama-3.2-1B,deepseek-ai,Qwen,2025-07-17 20:41:53+00:00,transformer,6.557845919845685,131072.0,True,False,False,apache-2.0,BAAI/bge-base-en-v1.5,"['transformers', 'pytorch', 'clap', 'feature-extraction', 'license:apache-2.0', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
